Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Sim.Pins
"C1, C2",2,4.7u,C_0402_1005Metric_small_pads,,,,smt,,
"C10, C9",2,4.7u,C_0402_1005Metric,,,,smt,,
"C11, C12, C13, C14, C15, C16, C17, C18, C5, C8",10,100n,C_0402_1005Metric,,,,smt,,
C19,1,100nf,C_0402_1005Metric,,,,smt,Unpolarized capacitor,
"C20, C6",2,4.7uF,C_0805_2012Metric,,,,smt,Unpolarized capacitor,
C21,1,0.1uF,C_0603_1608Metric,,,,smt,Unpolarized capacitor,
"C3, C4",2,15p,C_0402_1005Metric,,,,smt,,
C7,1,10uF,C_0805_2012Metric,,,,smt,Unpolarized capacitor,
D1,1,MBR0520,D_SOD-123,,,,smt,"20V 0.5A Schottky Power Rectifier Diode, SOD-123",
D3,1,LED,LED_0402_1005Metric,,,,smt,Light emitting diode,1=K 2=A
D5,1,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,,,,smt,"RGB LED with integrated controller, 2.0 x 2.0 mm, 12 mA",
J1,1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,,,,smt,USB 2.0-only 14P Type-C Receptacle connector,
J2,1,LEFT_RAIL,PinHeader_1x20_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x20, script generated (kicad-library-utils/schlib/autogen/connector/)",
J3,1,RIGHT_RAIL,PinHeader_1x20_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x20, script generated (kicad-library-utils/schlib/autogen/connector/)",
J4,1,SM03B-SRSS-TB,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,,,,smt,,
L1,1,3.3u,L_pol_2016,,,,smt,,
"R1, R2",2,5.1k,C_0402_1005Metric,,,,smt,Resistor,
"R3, R8",2,27,R_0201_0603Metric,,,,smt,,
"R4, R6",2,1k,R_0402_1005Metric,,,,smt,,
R5,1,33,R_0402_1005Metric,,,,smt,,
R7,1,1k,R_0603_1608Metric,,,,smt,Resistor,
R9,1,100,R_0402_1005Metric,,,,smt,Resistor,
SW1,1,SW_Push,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,,,,smt,,
U1,1,RP2350_60QFN,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,,,,smt,,
U2,1,W25Q128JVP,WSON-8-1EP_4x4mm_P0.8mm_EP2.2x3mm,,,,smt,"128Mbit / 16MiB Serial Flash Memory, Standard/Dual/Quad SPI, 2.7-3.6V, WSON-8",
U3,1,LP5912-3.3DRV,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,,,,smt,"500-mA Ultra-Low-Noise Low-IQ LDO, 3.3V, WSON-6",
Y1,1,ABM8-272-T3,Crystal_SMD_3225-4Pin_3.2x2.5mm,,,,smt,,
