pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
136.192736,-65.871622,0.0,top,C1,,,C_0402_1005Metric_small_pads,4.7u,smt
134.0,-77.0,-90.0,top,C10,,,C_0402_1005Metric,4.7u,smt
141.359451,-70.421617,0.0,top,C11,,,C_0402_1005Metric,100n,smt
139.3,-67.7,0.0,top,C12,,,C_0402_1005Metric,100n,smt
132.8,-64.0,90.0,top,C13,,,C_0402_1005Metric,100n,smt
141.224317,-71.410816,0.0,top,C14,,,C_0402_1005Metric,100n,smt
138.345613,-75.1473,0.0,top,C15,,,C_0402_1005Metric,100n,smt
131.447827,-77.405311,-90.0,top,C16,,,C_0402_1005Metric,100n,smt
127.52,-72.0,180.0,top,C17,,,C_0402_1005Metric,100n,smt
129.323678,-66.840922,90.0,top,C18,,,C_0402_1005Metric,100n,smt
132.919149,-86.53495,0.0,top,C19,,,C_0402_1005Metric,100nf,smt
136.567114,-64.892238,0.0,top,C2,,,C_0402_1005Metric_small_pads,4.7u,smt
130.0,-54.0,180.0,top,C20,,,C_0805_2012Metric,4.7uF,smt
140.0,-64.725,90.0,top,C21,,,C_0603_1608Metric,0.1uF,smt
131.0,-82.5,180.0,top,C3,,,C_0402_1005Metric,15p,smt
133.0,-82.5,0.0,top,C4,,,C_0402_1005Metric,15p,smt
130.0,-59.5,180.0,top,C5,,,C_0402_1005Metric,100n,smt
137.65,-56.5,180.0,top,C6,,,C_0805_2012Metric,4.7uF,smt
142.5,-49.5,90.0,top,C7,,,C_0805_2012Metric,10uF,smt
127.211875,-69.524309,180.0,top,C8,,,C_0402_1005Metric,100n,smt
138.8,-65.19,-90.0,top,C9,,,C_0402_1005Metric,4.7u,smt
140.0,-50.0,90.0,top,D1,,,D_SOD-123,MBR0520,smt
137.15,-55.0,180.0,top,D3,,,LED_0402_1005Metric,LED,smt
133.419149,-84.53495,180.0,top,D5,,,LED_WS2812B-2020_PLCC4_2.0x2.0mm,WS2812B-2020,smt
133.5,-47.5,180.0,top,J1,,,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,USB_C_Receptacle_USB2.0_14P,smt
122.0,-46.74,180.0,bottom,J2,,,PinHeader_1x20_P2.54mm_Vertical,LEFT_RAIL,tht
145.0,-46.74,180.0,bottom,J3,,,PinHeader_1x20_P2.54mm_Vertical,RIGHT_RAIL,tht
133.999149,-93.20245,0.0,top,J4,,,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,SM03B-SRSS-TB,smt
136.912992,-63.321034,0.0,top,L1,,,L_pol_2016,3.3u,smt
135.0,-53.5,-90.0,top,R1,,,C_0402_1005Metric,5.1k,smt
127.5,-51.52,90.0,top,R2,,,C_0402_1005Metric,5.1k,smt
133.745226,-64.65823,-90.0,top,R3,,,R_0201_0603Metric,27,smt
133.0,-77.0,-90.0,top,R4,,,R_0402_1005Metric,1k,smt
138.8,-63.19,-90.0,top,R5,,,R_0402_1005Metric,33,smt
127.0,-59.5,180.0,top,R6,,,R_0402_1005Metric,1k,smt
137.65,-53.5,0.0,top,R7,,,R_0603_1608Metric,1k,smt
134.5,-64.655,-90.0,top,R8,,,R_0201_0603Metric,27,smt
130.401502,-77.360662,-90.0,top,R9,,,R_0402_1005Metric,100,smt
128.925,-56.925,180.0,top,SW1,,,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,SW_Push,smt
134.0,-70.5,0.0,top,U1,,,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,RP2350_60QFN,smt
129.03,-62.25,0.0,top,U2,,,WSON-8-1EP_4x4mm_P0.8mm_EP2.2x3mm,W25Q128JVP,smt
140.65,-54.5,90.0,top,U3,,,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,LP5912-3.3DRV,smt
131.9,-80.15,0.0,top,Y1,,,Crystal_SMD_3225-4Pin_3.2x2.5mm,ABM8-272-T3,smt
